PAR_CODE;PAR_OMS;CASnummer;parametergroup0;parametergroup1;parametergroup2;DATUM_STATUS;STATUS
22DBr2caacam;2,2-dibroom-2-cyaanaceetamide;10222-01-2;FYSISCH-CHEMISCH;ChemischeStof;;29-1-2014;Gepubliceerd
glibcmde;glibenclamide;10238-21-8;FYSISCH-CHEMISCH;ChemischeStof;;17-11-2012;Gepubliceerd
cHpClepO;cis-heptachloorepoxide;1024-57-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
135Talicaurt;1,3,5-triallylisocyanuraat;1025-15-6;FYSISCH-CHEMISCH;ChemischeStof;;29-5-2014;Gepubliceerd
ferrcn;ferroceen;102-54-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
maptlne;maprotiline;10262-69-8;FYSISCH-CHEMISCH;ChemischeStof;;17-11-2012;Gepubliceerd
mtmdfs;methamidofos;10265-92-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
TC2olAe;triethanolamine;102-71-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
glycrTactt;glyceroltriacetaat;102-76-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
levtrctm;levetiracetam;102767-28-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
2mflntobztaz;2-morfoline(thio)benzothiazool;102-77-2;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
TC4yAe;tributylamine;102-82-9;FYSISCH-CHEMISCH;ChemischeStof;;6-7-2013;Gepubliceerd
taufvlnt;tau-fluvalinaat;102851-06-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
BTCl;boortrichloride;10294-34-5;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
lufnrn;lufenuron;103055-07-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
endsfSO4;endosulfansulfaat;1031-07-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
fecrzlC2y;fenchlorazool-ethyl;103112-35-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
2C2yC6yaclt;2-ethylhexylacrylaat;103-11-7;FYSISCH-CHEMISCH;ChemischeStof;;6-7-2013;Gepubliceerd
Dalfs;dialifos;10311-84-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Tamfs;triamifos;1031-47-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Clbsde;chloorbenside;103-17-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
DC1yDFyeDS;dimethyldifenyleendisulfide;103-19-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
BISADPT;bis(2-ethylhexyl)adipaat;103-23-1;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
azBen;azobenzeen;103-33-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
flumoxzn;flumioxazin;103361-09-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
DbenzAe;dibenzylamine;103-49-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
1C3yBen;1-propylbenzeen;103-65-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C2yAn;ethylaniline;103-69-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
NFYfAd;N-fenylformamide;103-70-8;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
14DC1y25DiC3;1,4-dimethyl-2,5-diisopropylbenzeen;10375-96-9;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
Fyactn;fenylaceton;103-79-7;FYSISCH-CHEMISCH;ChemischeStof;;29-5-2014;Gepubliceerd
BenHAc;benzeenazijnzuur;103-82-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
DC1ybenzAe;dimethylbenzylamine;103-83-3;FYSISCH-CHEMISCH;ChemischeStof;;27-8-2011;Gepubliceerd
acntn;acrinathrin;103833-18-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
parctml;paracetamol;103-90-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
carppAd;carpropamide;104030-54-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
flazsfrn;flazasulfuron;104040-78-0;FYSISCH-CHEMISCH;ChemischeStof;;7-4-2012;Gepubliceerd
pClFyiCN;p-chloorfenylisocyanaat;104-12-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
meston;mesotrion;104206-82-8;FYSISCH-CHEMISCH;ChemischeStof;;27-8-2011;Gepubliceerd
Tnxpc;trinexapac;104273-73-6;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
14DC4oxBen;1,4-dibutoxybenzeen;104-36-9;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
4C9yFol;4-nonylfenol;104-40-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C4yBen;butylbenzeen;104-51-8;FYSISCH-CHEMISCH;ChemischeStof;;27-8-2011;Gepubliceerd
resmtn;resmethrin;10453-86-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Dftiln;difethialon;104653-34-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
2C2y1C6ol;2-ethyl-1-hexanol;104-76-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C1yC2yprdne;methylethylpyridine;104-90-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
pansdne;p-anisidine;104-94-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
silfofn;silafluofen;105024-66-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
tamxfn;tamoxifen;10540-29-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
3C1yC5azr;3-methylpentaanzuur;105-43-1;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
TAED;tetraacetylethyleendiamine;10543-57-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
terbfSO;terbufos-sulfoxide;10548-10-4;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
clodnfppgl;clodinafop-propargyl;105512-06-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
nittliC3y;nitrothal-isopropyl;10552-74-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
ecapltm;epsilon-caprolactam;105-60-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
24DC1yFol;2,4-dimethylfenol;105-67-9;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
pyrmdfn;pyrimidifen;105779-78-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C1yC2yNOAe;methylethylnitrosamine;10595-95-6;FYSISCH-CHEMISCH;ChemischeStof;;27-8-2011;Gepubliceerd
carbdzm;carbendazim;10605-21-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
risprdne;risperidone;106266-06-2;FYSISCH-CHEMISCH;ChemischeStof;;17-11-2012;Gepubliceerd
4BrAn;4-broomaniline;106-40-1;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
14xyln;1,4-xyleen;106-42-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
